chord,x,y,color
Dsus4/F#,19.446037,-10.97362,8.119014
Dsus4/G,-25.954647,4.8305645,-11.382205
E,-4.7626123,2.0758429,2.5007482
E#(b5)/B,-36.651302,-0.54578483,-14.776825
E#m,-35.080738,3.8964303,-13.36246
E(#9),27.71039,4.3040404,11.862624
E(b9),-34.917465,7.235603,-13.859485
E+,15.14882,0.8746085,6.294867
E/A,7.316932,-8.237823,3.1043293
E/B,-2.904237,-2.9859712,-0.01061123
E/Bb,-28.737734,-0.0009856322,-12.502635
E/C,21.464409,-4.583412,8.967593
E/C#,-41.297035,5.8232565,-15.737916
E/D,18.57384,-8.467171,8.001019
E/D#,-1.1643767,-2.2088757,0.14134309
E/F#,0.19302958,0.17920226,0.051484294
E/G,14.501655,-3.7747867,6.6291776
E/G#,1.8497425,-7.071446,2.3245766
E11,7.3478127,-1.9986361,2.0159414
E2,-39.22992,-6.4560785,-15.180171
E4,7.5462093,-12.010765,3.5160122
E5,11.716364,12.780336,4.223621
E5/B,-24.810087,5.9195166,-10.392572
E5/C#,-41.497295,6.4855447,-15.688842
E5/D,-26.281572,8.707164,-11.10344
E6,4.494854,-2.8633382,1.6012511
E6/9,-41.30157,-5.1144323,-15.942649
E6/G#,-38.927547,-7.611983,-15.205927
E6sus4,-40.137142,-4.088553,-15.446128
E7,12.025463,-4.6739693,6.6436024
E7#5,16.397419,-1.6824731,7.199651
E7#9,15.55465,-5.7467475,7.641709
E7(#5),-25.784836,4.6755877,-11.529778
E7+,-36.69652,4.3705225,-14.587533
E7+9,-27.805382,-9.612469,-9.714784
E7/A,12.133246,9.802849,4.596594
E7/B,30.721817,4.7199936,12.34646
E7/D,5.1772556,0.79340076,1.4604989
E7/G,-33.654545,-3.0508368,-13.57868
E7/G#,25.667208,-9.544451,9.861349
E7b5,18.732859,-3.0868442,7.9892416
E7b9,16.51754,10.337102,4.7133474
E7b9/G#,29.294333,-8.637017,11.122805
E7sus,11.140151,4.4246874,6.068128
E7sus2,21.359928,5.7803187,10.168089
E7sus4,5.408086,1.4135633,1.4578664
E7sus4/B,20.603247,-13.258277,7.877083
E7sus4/F#,-27.683245,-0.9063137,-12.053556
E9,5.825225,6.708553,1.9823431
E9/D,6.589651,-9.638603,3.3676732
E9sus4,11.313237,9.487963,4.5121775
EM,14.9479885,-0.5700292,6.683875
EM7,-0.76254,-3.719839,0.049385354
Eadd13,4.1896224,-9.928782,2.986008
Eadd2,-7.060786,3.189783,-3.2143278
Eadd9,8.457731,-5.170179,3.1136892
Eaug,-1.648707,-9.626921,-0.36743823
Eb,39.123074,-2.0082529,16.10607
Eb/A,19.79461,-2.9576147,8.164477
Eb/Bb,35.028442,7.5350637,14.214845
Eb/C,14.507833,3.716559,6.299981
Eb/Cb,-40.665836,-9.0384035,-16.860722
Eb/D,34.673782,0.12962353,13.977672
Eb/F,32.834362,4.541215,13.631692
Eb/G,38.234665,-4.3943877,16.287893
Eb5,15.452396,13.8155775,4.353246
Eb6,41.1001,5.6195455,15.198041
Eb6/9,-33.305553,5.448545,-13.367332
Eb7,39.661358,3.5005493,15.301105
Eb7(b5),35.566246,4.492031,14.286344
Eb7(b9),40.468964,-1.5123297,15.821882
Eb7b5,19.20667,-0.80909544,8.021427
Eb7b9,-43.27627,8.416562,-15.927
Eb7sus4,-40.655457,-5.3485966,-15.587339
Eb9,39.966934,5.482632,14.960545
EbM7,27.654549,0.35366246,12.303795
EbM7/F,14.601611,1.0362533,6.198633
EbM7/G,23.644787,13.354094,10.8943205
Ebadd9,34.512207,4.0232787,13.897546
Ebadd9/G,34.684837,-1.5569705,13.198053
Ebaug,12.209973,-1.090409,6.10554
Ebdim,19.658236,-5.4752483,8.314333
Ebdim7,15.838153,-0.3341589,7.02315
Ebm,41.67661,2.2818346,15.753009
Ebm(maj7),-21.832062,-3.229057,-9.016955
Ebm/Bb,-41.25458,-2.398091,-15.095733
Ebm/C,-23.794085,9.048298,-11.167488
Ebm/Gb,-30.408897,4.578356,-11.382602
Ebm6,27.634624,-2.0956252,11.542473
Ebm6/Bb,33.524662,5.771265,13.813143
Ebm7,40.772076,3.738996,15.404916
Ebm7/Ab,-43.349346,2.6699855,-15.959227
Ebm9,37.967842,6.6500187,14.671104
EbmM7,25.59688,5.4734154,11.839291
Ebmadd9,-38.319183,3.6512647,-15.203743
Ebmaj,34.0662,3.376103,13.697503
Ebmaj7,36.20167,5.019409,14.235871
Ebmmaj13,31.748413,0.42343143,13.120973
Ebsus,38.819954,-0.98151267,15.729373
Ebsus2,-35.995052,9.3476925,-14.419113
Ebsus4,39.527584,6.660628,15.063401
Edim,11.797918,-0.056005124,5.984182
Edim7,31.128683,5.6310744,12.2359915
Em,13.504258,-8.258957,5.6450424
Em#5,-32.292263,13.70267,-10.71155
Em(add9),11.019047,-10.948795,5.2203507
Em(maj7),-32.54942,-7.6578317,-12.844237
